,mAP@5,mAP@10,mAP@15,npts,037_scissors@5,037_scissors@10,037_scissors@15,018_plum@5,018_plum@10,018_plum@15,065-e_cups@5,065-e_cups@10,065-e_cups@15,017_orange@5,017_orange@10,017_orange@15,008_pudding_box@5,008_pudding_box@10,008_pudding_box@15,005_tomato_soup_can@5,005_tomato_soup_can@10,005_tomato_soup_can@15,010_potted_meat_can@5,010_potted_meat_can@10,010_potted_meat_can@15
GDN_edgeconv_512pt,0.7747037559656176,0.9319900458170387,0.9534889505990265,512,0.4895185185185185,0.5102095616024187,0.5692274502393551,0.13095238095238096,0.7502173091458806,0.9071470563534056,0.8873090234036,0.9346203476246466,0.9636898638056045,0.6148767495503948,0.9839369336495771,1.0,0.9062004755605946,0.9873462301587302,0.9953020282186948,0.8741035590481403,0.9719823785197349,0.9827038861521621,0.839485348737196,0.9644871677917655,0.979892713790497
GDN_pointnet2_512pt,0.4402389339391152,0.6220109368895169,0.6991928466904744,512,0.13111111111111112,0.3312380952380952,0.37270767195767196,0.0,0.1851851851851852,0.37328042328042327,0.23201058201058197,0.31004188712522046,0.3351741622574955,0.30068304141580005,0.5992590203386592,0.7504456086393688,0.6434939058956917,0.8703669296422272,0.8917857064121947,0.6845338278989759,0.8491415800036488,0.9014391056550334,0.47670703338806786,0.5854435452341856,0.6851099686362411
GDN_pointnet2_1024pt,0.8309395208700764,0.9436345935985775,0.9713472687786869,1024,0.6666979717813051,0.7788383093978333,0.8023414273116654,0.3548280423280423,0.7237433862433863,0.9842096560846562,0.9245792915931804,0.979087056633353,0.979087056633353,0.7159462396069539,0.956174359909992,1.0,0.9336989795918367,0.9981327160493827,0.9981327160493827,0.919193795014813,0.9885394132110059,0.9886650094265037,0.8345766272664876,0.9061737897585599,0.9590473529769507
GDN_edgeconv_1024pt,0.7351804656376775,0.9116751940309136,0.9257755165941848,1024,0.5271924603174604,0.6046283068783068,0.6024695767195767,0.3611111111111111,0.5505026455026455,0.7537414965986394,0.8747962070630722,0.9143169459141682,0.9268849206349208,0.5368478607918263,0.9670165495955725,0.9852186340692088,0.934297091521794,0.9823875661375661,0.9823875661375661,0.7989015082405887,0.948997728082293,0.9503147235905857,0.7562290021372533,0.9118453575555382,0.9313432333342021
GDN_edgeconv_2048pt,0.8379563597785665,0.9629379440887729,0.9752726407930008,2048,0.6014439484126983,0.8468649179579237,0.8818054965041572,0.34114701436130007,0.4971972519166397,0.7324247291509197,0.9414206677089912,0.9831072878161918,0.9862269273513566,0.6632398673755218,0.9951581558549345,0.9996861707646021,0.9588377763029331,0.9894391615047105,0.9905428657461177,0.9497856086879196,0.9910310420464482,0.9942306089102307,0.8920255919828249,0.9657996664274177,0.9746468163985171
GDN_pointnet2_2048pt,0.8361819179805151,0.9577987842172597,0.9738749697300725,2048,0.5467733607331822,0.8305967498110356,0.8494825798374904,0.48139091350826047,0.7695280162329483,0.9549784265558074,0.9430880807421902,0.9895134207919597,0.9939845769611751,0.7969811390164533,0.9913784958427816,1.0,0.9538615677752582,0.9988030713640471,0.9995445648900934,0.8513120129003983,0.9468275603892352,0.9708336310714762,0.8526016372157329,0.9523865326553902,0.9648025308006801
GDN_edgeconv_4096pt,0.8280326344842821,0.9480918753035299,0.9580118483920674,4096,0.5179166666666666,0.6699990551776265,0.6950169280675232,0.17500000000000002,0.6574074074074073,0.914271017048795,0.8711954715013577,0.9741586269281376,0.9751840653957058,0.7101374010651514,0.9939292176001946,1.0,0.9418857473544971,0.9873633156966489,0.9873633156966489,0.9346107440421888,0.9855092483992319,0.9863181032310754,0.9085312844805865,0.9475389277677866,0.9520292503974769
GDN_pointnet2_4096pt,0.8117692301021321,0.9336359765994428,0.9610713498362308,4096,0.488095238095238,0.6294206349206349,0.6549594513731419,0.3610229276895944,0.7647156084656084,0.9594209288653733,0.9604056437389771,0.95987409367039,0.95987409367039,0.7038399753260179,0.9325391123882504,1.0,0.9089512471655331,1.0,1.0,0.884514214689707,0.9916849115124977,0.9916849115124977,0.8459149844484407,0.937006248859697,0.9711514778325123
GDN_edgeconv_8192pt,0.8300057077312942,0.9463695542629289,0.9618908177871256,8192,0.5127347883597884,0.8443335852859661,0.8716795005039053,0.08888888888888889,0.20324074074074072,0.5382227891156462,0.8842017650681672,0.956506283068783,0.956506283068783,0.6981713071563235,0.9873960423888586,0.9987122179650915,0.957616646195515,1.0,1.0,0.9271279680454557,0.9548438708178035,0.9646171623183118,0.9291423945056951,0.965650683964518,0.9743380813372604
GDN_pointnet2_8192pt,0.8273350143868605,0.9457610875133736,0.9712995620953694,8192,0.5378348450491308,0.7623435846560846,0.8128460726883346,0.5587301587301586,0.6872207524985304,0.839233224153859,0.9537398344111305,0.9847056878306878,0.9899274936311974,0.6913073952441768,0.9442350088183422,1.0,0.9536420540438397,1.0,1.0,0.8925487180823799,0.9939031806847898,0.997143161223621,0.8601968162744025,0.927559382629169,0.9537011244472245
